time	V(compout)
3.150161756304176e-06	1.417126e-01
3.152018899161319e-06	1.417126e-01
3.153876042018462e-06	1.417126e-01
3.155876042018462e-06	1.417126e-01
3.157876042018462e-06	1.417126e-01
3.159876042018462e-06	1.417126e-01
3.161876042018463e-06	1.417126e-01
3.163876042018463e-06	1.417126e-01
3.165876042018463e-06	1.417126e-01
3.167876042018463e-06	1.417126e-01
3.170876042018463e-06	1.417126e-01
3.173876042018464e-06	1.417126e-01
3.176876042018464e-06	1.417126e-01
3.179876042018464e-06	1.417126e-01
3.182876042018464e-06	1.417126e-01
3.185876042018464e-06	1.417126e-01
3.188876042018465e-06	1.417126e-01
